CREATED,UPDATED,PRECISION,ACCURACY,CAP_SCALE,X,Y,COMPILER,DES_REF,DES_TITLE,DES_TYPE,DESIGNATED,AMENDED,LINK,LEGISLATIO,CLASS,LOCAL_AUTH,PARISH,CATEGORY,Shape_Leng,Shape_Area,AREA
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,361138,658895,Historic Environment Scotland,SM4549,"Byrecleugh, farmstead 1900m WNW of",Scheduled Monument,1988-07-28,1998-02-23,http://portal.historicenvironment.scot/designation/SM4549,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Longformacus,Secular: farmstead,220.945813395,1926.61692051,1926.61692051
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,394420,658823,Historic Environment Scotland,SM4637,"Habchester,fort 1100m ESE of Bastleridge",Scheduled Monument,1989-03-06,1993-06-14,http://portal.historicenvironment.scot/designation/SM4637,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Ayton,Prehistoric domestic and defensive: fort (includes hill and promontory fort),516.632792648,20456.7505895,20456.7505895
2002-03-04,,Within 1m,Location Digitised on OS MasterMap,2500,221556,658805,Historic Environment Scotland,SM10390,"Castle Hill, fort",Scheduled Monument,2002-03-04,,http://portal.historicenvironment.scot/designation/SM10390,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,North Ayrshire,Largs,Prehistoric domestic and defensive: fort (includes hill and promontory fort),295.639462884,6720.89957401,6720.89957401
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,236169,658763,Historic Environment Scotland,SM7146,"Castle Semple Loch, tower house to S of loch",Scheduled Monument,1998-03-10,,http://portal.historicenvironment.scot/designation/SM7146,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Renfrewshire,Lochwinnoch,Secular: castle,196.649845717,2415.69019179,2415.69019179
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,241207,658759,Historic Environment Scotland,SM5213,"Walls Hill,fort",Scheduled Monument,1991-08-22,,http://portal.historicenvironment.scot/designation/SM5213,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Renfrewshire,Lochwinnoch,Prehistoric domestic and defensive: fort (includes hill and promontory fort),1916.0478798,191033.210668,191033.210668
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,265305,658725,Historic Environment Scotland,SM5270,Gilbertfield Castle,Scheduled Monument,1992-04-13,,http://portal.historicenvironment.scot/designation/SM5270,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,South Lanarkshire,Cambuslang,Secular: castle,120.000022889,900.000343336,900.000343336
2001-01-01,2018-05-31,Within 1m,Location Digitised on OS MasterMap,2500,331523,658720,Historic Environment Scotland,SM1191,"Temple, Old Parish Church",Scheduled Monument,1920-04-28,1999-10-29,http://portal.historicenvironment.scot/designation/SM1191,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Midlothian,Temple,Ecclesiastical: church,145.238172239,1201.01029133,1201.01029133
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,205322,658675,Historic Environment Scotland,SM7114,"Thom's Water Cuts, aqueduct (drain), Ardscalpsie to SW of Scalpsie",Scheduled Monument,1998-01-05,,http://portal.historicenvironment.scot/designation/SM7114,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,North Bute,Industrial: inland water,1508.2802841,14292.0832453,14292.0832453
2001-01-01,2009-03-31,Within 1m,Location Digitised on OS MasterMap,2500,386389,658599,Historic Environment Scotland,SM5228,"Oldcastles, fort 350m NNW of",Scheduled Monument,1991-12-17,2009-03-31,http://portal.historicenvironment.scot/designation/SM5228,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Chirnside,Prehistoric domestic and defensive: fort (includes hill and promontory fort),533.856315572,22661.5644473,22661.5644473
2001-01-01,2002-11-20,Within 1m,Location Digitised on OS MasterMap,2500,220950,658594,Historic Environment Scotland,SM2482,"Haylie House, chambered cairn",Scheduled Monument,1964-11-17,2002-11-20,http://portal.historicenvironment.scot/designation/SM2482,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,North Ayrshire,Largs,Prehistoric ritual and funerary: chambered cairn,71.716085258,342.580257588,342.580257588
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,232787,658579,Historic Environment Scotland,SM5644,"Larabank Castle,motte",Scheduled Monument,1993-03-03,,http://portal.historicenvironment.scot/designation/SM5644,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Renfrewshire,Lochwinnoch,Secular: motte,86.9563198676,539.685355129,539.685355129
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,209029,658546,Historic Environment Scotland,SM7117,"Thom's Water Cuts, aqueduct (drain), N of Drumreoch to Reservoir Wood",Scheduled Monument,1998-01-05,,http://portal.historicenvironment.scot/designation/SM7117,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Kingarth,Industrial: inland water,1918.49533133,22720.4924711,22720.4924711
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,249978,658544,Historic Environment Scotland,SM1654,"Arthur's Cross,cross shaft,Springhill Road,Arthurlie",Scheduled Monument,1925-06-29,1974-11-15,http://portal.historicenvironment.scot/designation/SM1654,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,East Renfrewshire,Neilston,Crosses and carved stones: cross (free-standing),16.1920949579,20.7375000027,20.7375000027
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,263876,658486,Historic Environment Scotland,SM3334,"Greenlees Cottages,motte SE of",Scheduled Monument,1973-12-05,,http://portal.historicenvironment.scot/designation/SM3334,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,South Lanarkshire,Cambuslang,Secular: motte,196.257980346,2122.0054942,2122.0054942
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,367229,658453,Historic Environment Scotland,SM5003,"Wrunklaw,fort 700m ESE of Horseupcleugh",Scheduled Monument,1991-03-13,,http://portal.historicenvironment.scot/designation/SM5003,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Longformacus,Secular: fort (non-prehistoric),580.509407823,15699.0335716,15699.0335716
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,345314,658436,Historic Environment Scotland,SM3067,"Soutra Aisle, burial aisle and part of site of medieval hospital",Scheduled Monument,1971-10-21,1999-06-03,http://portal.historicenvironment.scot/designation/SM3067,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Fala and Soutra,Ecclesiastical: hospital/hospice,968.722236435,54605.1086943,54605.1086943
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,310729,658401,Historic Environment Scotland,SM2980,"Harperrig, cairn, West Cairn Hill",Scheduled Monument,1970-10-06,,http://portal.historicenvironment.scot/designation/SM2980,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Mid Calder,Prehistoric ritual and funerary: cairn (type uncertain),78.5351201196,490.802676036,490.802676036
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,345209,658386,Historic Environment Scotland,SM7573,"Soutra Aisle, part of site of medieval hospital",Scheduled Monument,1999-06-03,,http://portal.historicenvironment.scot/designation/SM7573,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Midlothian,Fala and Soutra,Ecclesiastical: hospital/hospice,603.748307333,13156.1004306,13156.1004306
2001-01-01,2013-02-07,Within 1m,Location Digitised on OS MasterMap,2500,186497,658253,Historic Environment Scotland,SM3281,"Glenreasdell Mains, chambered cairn 200m SE of",Scheduled Monument,1973-07-06,2013-02-07,http://portal.historicenvironment.scot/designation/SM3281,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Saddell and Skipness,Prehistoric ritual and funerary: chambered cairn,125.504310778,1250.26770025,1250.26770025
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,320154,658224,Historic Environment Scotland,SM1192,Brunston Castle,Scheduled Monument,1934-11-27,,http://portal.historicenvironment.scot/designation/SM1192,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Midlothian,Penicuik,Secular: castle,125.087505661,957.867668224,957.867668224
2001-01-01,2011-02-11,Within 1m,Location Digitised on OS MasterMap,2500,234679,658157,Historic Environment Scotland,SM1650,Barr Castle,Scheduled Monument,1935-11-28,2011-02-11,http://portal.historicenvironment.scot/designation/SM1650,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Renfrewshire,Lochwinnoch,Secular: bailey,185.789619503,2151.71335176,2151.71335176
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,351602,658041,Historic Environment Scotland,SM380,"Tollis Hill,fort",Scheduled Monument,1936-06-20,,http://portal.historicenvironment.scot/designation/SM380,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Lauder,Prehistoric domestic and defensive: fort (includes hill and promontory fort),446.751475584,13724.1811246,13724.1811246
2001-01-01,2016-09-19,Within 5m,Location Digitised on OS MasterMap,2500,273243,658027,Historic Environment Scotland,SM3898,"Orbiston House, tower house",Scheduled Monument,1976-11-16,2016-09-19,http://portal.historicenvironment.scot/designation/SM3898,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,North Lanarkshire,Bothwell,Secular: castle,78.0028263757,378.019688842,378.019688842
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,188613,657972,Historic Environment Scotland,SM3651,"Cnoc na Sgratha,cairn 550m N of Glenbuie",Scheduled Monument,1975-04-09,,http://portal.historicenvironment.scot/designation/SM3651,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Saddell and Skipness,Prehistoric ritual and funerary: cairn (type uncertain),87.5130448553,609.429915702,609.429915702
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,351818,657960,Historic Environment Scotland,SM4642,"Tollishill,enclosure 50m NW of",Scheduled Monument,1989-03-06,,http://portal.historicenvironment.scot/designation/SM4642,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Lauder,Secular: enclosure,192.464381234,2336.32716028,2336.32716028
2009-02-16,,Within 1m,Location Digitised on OS MasterMap,2500,394754,657899,Historic Environment Scotland,SM12453,"Hilltops, settlement 530m N of",Scheduled Monument,2009-02-16,,http://portal.historicenvironment.scot/designation/SM12453,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Foulden,Prehistoric domestic and defensive: settlement,387.91880352,11698.7173482,11698.7173482
2001-01-01,2015-06-22,Within 1m,Location Digitised on OS MasterMap,2500,272963,657872,Historic Environment Scotland,SM3409,"Bothwellhaugh,Roman bath house",Scheduled Monument,1974-09-10,,http://portal.historicenvironment.scot/designation/SM3409,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,North Lanarkshire,Dalziel,Roman: bathhouse,288.796695263,4967.63343738,4967.63343738
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,395551,657838,Historic Environment Scotland,SM4455,"Moor Side, homestead 350m WNW of",Scheduled Monument,1988-03-01,,http://portal.historicenvironment.scot/designation/SM4455,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Mordington,Prehistoric domestic and defensive: homestead,232.983086775,3677.5042296,3677.5042296
2013-02-07,,Within 1m,Location Digitised on OS MasterMap,2500,190805,657779,Historic Environment Scotland,SM13225,Skipness Castle and Kilbrannan Chapel,Scheduled Monument,2013-02-07,,http://portal.historicenvironment.scot/designation/SM13225,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Saddell and Skipness,Ecclesiastical: chapel; Secular: castle,429.729858874,5620.83136496,5620.83136496
2001-01-01,2015-06-25,Within 1m,Location Digitised on OS MasterMap,2500,273073,657777,Historic Environment Scotland,SM1140,"Bothwellhaugh,Roman fort",Scheduled Monument,1961-01-19,1976-07-23,http://portal.historicenvironment.scot/designation/SM1140,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,North Lanarkshire,Dalziel,Roman: fort,878.771447448,47802.8772513,47802.8772513
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,362700,657754,Historic Environment Scotland,SM4508,"Byrecleugh, farmstead and cultivation remains 300m SSW of",Scheduled Monument,1988-03-24,1998-02-23,http://portal.historicenvironment.scot/designation/SM4508,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Longformacus,Secular: farmstead,381.004436953,5916.24705622,5916.24705622
2001-01-01,2018-12-17,Within 10m,Location Digitised on OS MasterMap,10000,320400,657642,Historic Environment Scotland,SM1157,"The Gowk Stane,730m ENE of Auchencorth",Scheduled Monument,1935-09-12,,http://portal.historicenvironment.scot/designation/SM1157,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Midlothian,Penicuik,Prehistoric ritual and funerary: standing stone,45.4195519641,164.158676204,164.158676204
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,350546,657617,Historic Environment Scotland,SM4498,"Andrew's Wood,settlement 380m NE of",Scheduled Monument,1988-03-24,,http://portal.historicenvironment.scot/designation/SM4498,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Channelkirk,Prehistoric domestic and defensive: scooped settlement,335.655297762,6814.73815761,6814.73815761
2001-01-01,2013-05-10,Within 1m,Location Digitised on OS MasterMap,2500,124831,657615,Historic Environment Scotland,SM3937,"Port Charlotte, chambered cairn, 65m ESE of Port Mhor Centre, Islay",Scheduled Monument,1977-02-23,2013-05-10,http://portal.historicenvironment.scot/designation/SM3937,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Kilchoman,Prehistoric ritual and funerary: chambered cairn,125.047752868,1213.23719382,1213.23719382
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,353824,657614,Historic Environment Scotland,SM4595,"The Howe,settlement 100m NNE of",Scheduled Monument,1988-11-18,,http://portal.historicenvironment.scot/designation/SM4595,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Lauder,Prehistoric domestic and defensive: settlement,269.671256729,5640.97886631,5640.97886631
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,351524,657491,Historic Environment Scotland,SM4598,"Tollishill,homestead 550m SW of",Scheduled Monument,1988-11-18,,http://portal.historicenvironment.scot/designation/SM4598,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Lauder,Prehistoric domestic and defensive: scooped homestead,183.580702933,2361.96119106,2361.96119106
2001-01-01,2010-10-29,Within 1m,Location Digitised on OS MasterMap,2500,396831,657379,Historic Environment Scotland,SM384,"Lamberton old church, church and churchyard 75m NNE of Border View",Scheduled Monument,1953-03-11,2010-10-29,http://portal.historicenvironment.scot/designation/SM384,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Mordington,Ecclesiastical: church,218.780115537,3099.69077722,3099.69077722
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,231035,657354,Historic Environment Scotland,SM318,Glengarnock Castle,Scheduled Monument,1935-05-09,,http://portal.historicenvironment.scot/designation/SM318,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,North Ayrshire,Kilbirnie,Secular: castle,232.334642772,3016.33250439,3016.33250439
2001-01-01,2009-09-23,Within 1m,Location Digitised on OS MasterMap,2500,379372,657320,Historic Environment Scotland,SM391,"Preston Market Cross, 35m ESE of 1 Preston Cottages",Scheduled Monument,1955-02-26,2009-09-23,http://portal.historicenvironment.scot/designation/SM391,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Bunkle and Preston,Crosses and carved stones: market cross,12.7981263723,9.9700500007,9.9700500007
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,352195,657260,Historic Environment Scotland,SM4616,"Tollishill Dod,homestead 250m SSW of",Scheduled Monument,1988-12-23,,http://portal.historicenvironment.scot/designation/SM4616,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Lauder,Prehistoric domestic and defensive: scooped homestead,199.398936383,3076.83320979,3076.83320979
2009-03-30,,Within 1m,Location Digitised on OS MasterMap,2500,368351,657233,Historic Environment Scotland,SM12579,"Rathburne House, tower house 180m NNW of",Scheduled Monument,2009-03-30,,http://portal.historicenvironment.scot/designation/SM12579,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Longformacus,Secular: tower,234.18809021,3093.58911461,3093.58911461
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,175770,657204,Historic Environment Scotland,SM2491,"Dun Skeig,duns & fort",Scheduled Monument,1964-09-24,,http://portal.historicenvironment.scot/designation/SM2491,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Kilcalmonell,Prehistoric domestic and defensive: dun,482.500253863,12564.8750017,12564.8750017
2001-01-01,2011-03-31,Within 1m,Location Digitised on OS MasterMap,2500,378690,657067,Historic Environment Scotland,SM5655,"Preston Church, church and burial ground",Scheduled Monument,1993-03-03,2011-03-31,http://portal.historicenvironment.scot/designation/SM5655,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Bunkle and Preston,"Ecclesiastical: burial ground, cemetery, graveyard",142.829979493,1141.5180002,1141.5180002
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,327487,657008,Historic Environment Scotland,SM6333,"St Mary's Chapel,chapel 250m ENE of Mount Lothian",Scheduled Monument,1996-02-22,,http://portal.historicenvironment.scot/designation/SM6333,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Midlothian,Penicuik,Ecclesiastical: chapel,196.045586124,3058.38492336,3058.38492336
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,352346,656997,Historic Environment Scotland,SM4479,"Dodcleugh,homestead and enclosure 300m E of",Scheduled Monument,1988-03-24,,http://portal.historicenvironment.scot/designation/SM4479,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Lauder,Prehistoric domestic and defensive: enclosure (domestic or defensive),342.063735589,6903.7192003,6903.7192003
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,119554,656961,Historic Environment Scotland,SM3814,"Cultoon,stone circle 500m SW of",Scheduled Monument,1976-03-17,,http://portal.historicenvironment.scot/designation/SM3814,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Kilchoman,Prehistoric ritual and funerary: stone circle or ring,324.532829332,8061.26862541,8061.26862541
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,346197,656934,Historic Environment Scotland,SM2962,"Dere Street,Roman road,Soutra to Channelkirk (part)",Scheduled Monument,1970-11-27,,http://portal.historicenvironment.scot/designation/SM2962,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Channelkirk,Roman: road,7059.81438127,280208.681526,280208.681526
2005-02-10,,Within 1m,Location Digitised on OS MasterMap,2500,305951,656920,Historic Environment Scotland,SM11245,"Crosswood, cairn 750m SE of",Scheduled Monument,2005-02-10,,http://portal.historicenvironment.scot/designation/SM11245,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,West Lothian,West Calder,Prehistoric ritual and funerary: cairn (type uncertain),62.831759618,314.157229286,314.157229286
2009-03-04,,Within 1m,Location Digitised on OS MasterMap,2500,363025,656850,Historic Environment Scotland,SM12507,"Dunside Hill, cairn 1225m S of Byrecleugh",Scheduled Monument,2009-03-04,,http://portal.historicenvironment.scot/designation/SM12507,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Longformacus,Prehistoric ritual and funerary: cairn (type uncertain),78.4401686224,488.385501391,488.385501391
2010-05-05,,Within 1m,Location Digitised on OS MasterMap,2500,257943,656746,Historic Environment Scotland,SM12899,"Busby Upper Mill, cotton mill 60m N of 1 Cartview Court",Scheduled Monument,2014-07-04,,http://portal.historicenvironment.scot/designation/SM12899,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,East Renfrewshire,Mearns,Industrial: textiles,501.823804096,5632.1666545,5632.1666545
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,124091,656662,Historic Environment Scotland,SM2366,"Cilleach Mhicheil,chapel 1500m SSW of,Port Charlotte",Scheduled Monument,1963-12-02,,http://portal.historicenvironment.scot/designation/SM2366,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Kilchoman,Ecclesiastical: chapel,68.2321970111,370.473586936,370.473586936
2003-02-26,,Within 1m,Location Digitised on OS MasterMap,2500,272686,656623,Historic Environment Scotland,SM10726,"Hamilton Low Parks, motte",Scheduled Monument,2003-02-26,,http://portal.historicenvironment.scot/designation/SM10726,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,South Lanarkshire,Hamilton,Secular: motte,548.371753438,13973.5338927,13973.5338927
2009-01-05,,Within 1m,Location Digitised on OS MasterMap,2500,392459,656552,Historic Environment Scotland,SM12531,"No 9 Kirkbanny, settlement 360m W of",Scheduled Monument,2009-01-05,,http://portal.historicenvironment.scot/designation/SM12531,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Foulden,Prehistoric domestic and defensive: settlement,604.43277827,22810.2790244,22810.2790244
2001-01-01,2016-07-13,Within 1m,Location Digitised on OS MasterMap,2500,121044,656422,Historic Environment Scotland,SM3927,"Slochd Measach,Giant's Grave,chambered cairn,Nereabolls",Scheduled Monument,1977-02-23,,http://portal.historicenvironment.scot/designation/SM3927,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Argyll and Bute,Kilchoman,Prehistoric ritual and funerary: chambered cairn,71.3280499678,403.837298006,403.837298006
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,352086,656380,Historic Environment Scotland,SM4478,"Dodcleugh,fort and settlement 650m S of",Scheduled Monument,1988-03-24,,http://portal.historicenvironment.scot/designation/SM4478,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Lauder,Prehistoric domestic and defensive: fort (includes hill and promontory fort),500.795883326,15322.4929028,15322.4929028
2001-01-01,2009-03-31,Within 1m,Location Digitised on OS MasterMap,2500,383170,656360,Historic Environment Scotland,SM4216,Blanerne Castle,Scheduled Monument,1979-01-19,2009-03-31,http://portal.historicenvironment.scot/designation/SM4216,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Bunkle and Preston,Secular: castle,177.213363058,1901.2609031,1901.2609031
2001-01-01,,Within 10m,Location Digitised on OS MasterMap,10000,368581,656237,Historic Environment Scotland,SM4623,"Longformacus House,enclosed cremation cemetery 1450m SW of",Scheduled Monument,1989-02-07,,http://portal.historicenvironment.scot/designation/SM4623,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,Scottish Borders,Longformacus,Prehistoric ritual and funerary: enclosed cremation cemetery,125.259250038,1248.52660479,1248.52660479
2001-01-01,2016-05-10,Within 10m,Location Digitised on OS MasterMap,2500,262784,656162,Historic Environment Scotland,SM2994,"Laigh Mains, castle earthworks 125m North of Mains Castle",Scheduled Monument,1970-10-30,2016-05-10,http://portal.historicenvironment.scot/designation/SM2994,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,South Lanarkshire,East Kilbride,Secular: motte,371.745253512,10448.3893925,10448.3893925
2001-01-01,2015-11-26,Within 1m,Location Digitised on OS MasterMap,2500,265775,656147,Historic Environment Scotland,SM4701,"Long Calderwood, cairn 40m SSW of 1 Cadell Gardens",Scheduled Monument,1989-09-04,2015-11-26,http://portal.historicenvironment.scot/designation/SM4701,http://www.legislation.gov.uk/ukpga/1979/46,Cultural,South Lanarkshire,East Kilbride,Prehistoric ritual and funerary: cairn (type uncertain),128.640530174,1075.74684021,1075.74684021
