lon	lat	id	title	start	ccodes	aat_types	types	title_source
-1.963877455	55.62078119	1006480	Roman temporary camp, 435m north west of Hetton North Farm	23/01/1968	GB	300004790	listed building	Historic England
-1.655337118	55.61631096	1014771	Pre-Conquest monastic cell and post-Conquest monastic settlement on Inner Farne	12/10/1937	GB	300004790	listed building	Historic England
-2.124670967	55.61259395	1006445	Camp 400yds (370m) NNE of Flodden	25/07/1973	GB	300004790	listed building	Historic England
-1.979964175	55.6123903	1006556	Incised rock on Hare Crags	01/01/1900	GB	300004790	listed building	Historic England
-2.034223745	55.61231908	1006536	Multivallate hillfort, at Fenton Hill	23/08/1935	GB	300004790	listed building	Historic England
-2.004081333	55.61223988	1006557	Group of burial mounds on Doddington North Moor	01/01/1900	GB	300004790	listed building	Historic England
-2.190971581	55.61206304	1006523	East Moneylaws camp	09/04/1951	GB	300004790	listed building	Historic England
-2.060917037	55.61121564	1006408	Defended settlement on White Hill, 700m south east of Kimmerston	07/01/1980	GB	300004790	listed building	Historic England
-1.701114995	55.6104559	1418570	Unknown wreck, 600m ENE of Bamburgh Castle	21/03/2014	GB	300004790	listed building	Historic England
-2.122655121	55.60946109	1006481	Flodden camp	01/01/1900	GB	300004790	listed building	Historic England
-2.13712769	55.60812167	1006449	Flodden Edge camp	25/07/1973	GB	300004790	listed building	Historic England
-2.106423943	55.6080524	1006458	Henge, pit-circle and later cemetery, 850m north east of Millfield Hill	28/03/1972	GB	300004790	listed building	Historic England
-1.713052016	55.60670002	1006571	Dovecote 150yds (140m) NE of Lepers' Hospital	04/04/1951	GB	300004790	listed building	Historic England
-2.204202807	55.6058094	1006524	Moneylaws Castle Hill camp	09/04/1951	GB	300004790	listed building	Historic England
-1.837907605	55.60582075	1006513	Chester's Hill camps	01/01/1900	GB	300004790	listed building	Historic England
-1.801303752	55.60546103	1014502	Kippy Heugh defended settlement	01/07/1996	GB	300004790	listed building	Historic England
-2.025353	55.6046109	1006521	Chesters Strip Plantation earthwork near Fenton House, Nesbit	01/01/1900	GB	300004790	listed building	Historic England
-1.835665648	55.60421634	1006515	Enclosure and chapel, 295m north west of North Bank Cottage	04/04/1951	GB	300004790	listed building	Historic England
-1.709264219	55.60366117	1014503	Round barrow 520m WNW of Quarry Cottage	01/07/1996	GB	300004790	listed building	Historic England
-2.163587212	55.60061882	1018438	Howtel tower house	26/11/1932	GB	300004790	listed building	Historic England
-2.21087429	55.60015918	1006525	Downham camp	09/04/1951	GB	300004790	listed building	Historic England
-1.759631236	55.59880798	1014745	Spindlestone Heughs defended settlement	18/02/1955	GB	300004790	listed building	Historic England
-2.096513236	55.59841238	1006520	Site E of Milfield village	01/01/1900	GB	300004790	listed building	Historic England
-2.00117088	55.59530655	1006555	Incised rocks 550yds (500m) NW of Doddington Dean Wood	01/01/1900	GB	300004790	listed building	Historic England
-1.76818426	55.59454842	1014570	Medieval moated site and 18th century dovecote, 600m east of Outchester	08/03/1955	GB	300004790	listed building	Historic England
-2.032540394	55.59383134	1002918	Defended settlement, 400m south west of Nesbit	05/10/1979	GB	300004790	listed building	Historic England
-2.162298036	55.5917852	1006470	Castle Hill camp	01/01/1900	GB	300004790	listed building	Historic England
-2.09588175	55.59133299	1006457	Coupland henge and section of droveway, 170m SSW of Cheviot Cottage	08/02/1972	GB	300004790	listed building	Historic England
-1.954844794	55.59009957	1016246	Iron Age defended settlement in Fox Covert	23/08/1935	GB	300004790	listed building	Historic England
-1.980074607	55.58900426	1006585	The Ringses multivallate hillfort, Doddington Moor	28/11/1932	GB	300004790	listed building	Historic England
-1.973426455	55.58797811	1418072	Rock art 350m east of The Ringses hillfort	06/03/2014	GB	300004790	listed building	Historic England
-2.004572947	55.58624628	1006603	Bastle House	28/11/1932	GB	300004790	listed building	Historic England
-2.093325809	55.58383658	1006448	Marley Knowe round cairn	01/01/1900	GB	300004790	listed building	Historic England
-2.109963273	55.58351086	1002914	Defended settlement, 380m south west of Sandy House	12/06/1973	GB	300004790	listed building	Historic England
-2.070247305	55.58283851	1006436	Site SW of Thirlings	01/01/1900	GB	300004790	listed building	Historic England
-2.121923953	55.58102102	1006447	Romano British settlement, 655m north east of Lanton Hill Monument	12/06/1973	GB	300004790	listed building	Historic England
-2.23855902	55.5800672	1006527	Defended settlement, 507m north west of Pawston Lake	09/04/1951	GB	300004790	listed building	Historic England
-1.979530883	55.58005676	1006587	Standing Stones camp, Horton Moor	01/01/1900	GB	300004790	listed building	Historic England
-1.991505874	55.57903072	1002946	Two camps and cup and ring marked rocks on Dod Law	01/01/1900	GB	300004790	listed building	Historic England
-1.980606424	55.57900975	1006586	The standing stones on Doddington Moor	02/01/1900	GB	300004790	listed building	Historic England
-2.069933459	55.57889184	1002915	Ewart Park henge	11/06/1973	GB	300004790	listed building	Historic England
-1.967373731	55.57712025	1006532	Cup and ring marked rocks 1/4 mile (400m) NE of Buttony Wood, Horton Moor	01/01/1900	GB	300004790	listed building	Historic England
-1.811922039	55.57623161	1006452	Deserted village of Mousen	02/01/1900	GB	300004790	listed building	Historic England
-1.987898314	55.57557376	1006558	Incised rocks on Gled Law	03/01/1900	GB	300004790	listed building	Historic England
-1.972051191	55.57446987	1006531	Buttony Wood camp, Horton Moor	04/01/1900	GB	300004790	listed building	Historic England
-1.792720517	55.57305919	1003656	Roundabouts camp	22/04/1974	GB	300004790	listed building	Historic England
-2.205099756	55.57284865	1014774	Roman period native farmstead 320m north east of Longknowe	24/07/1996	GB	300004790	listed building	Historic England
-1.97410375	55.57301193	1417674	Prehistoric rock art, 92m south west of Buttony	06/03/2014	GB	300004790	listed building	Historic England
-2.264039679	55.57132479	1006526	Bowmont Hill camp	09/04/1951	GB	300004790	listed building	Historic England
-2.066670444	55.5699466	1006446	Henge 600yds (550m) E of Akeld Lodge	11/06/1973	GB	300004790	listed building	Historic England
-2.170297868	55.56838537	1008505	Farmstead and cultivation terraces, ENE of Stawhouse	17/04/1951	GB	300004790	listed building	Historic England
-2.117607435	55.56826295	1006519	Ad Gefrin Anglo-Saxon township and prehistoric remains	24/01/1953	GB	300004790	listed building	Historic England
-2.112712285	55.56704249	1006562	The Battle Stone, 650m WNW of Yeavering Farm	20/07/1933	GB	300004790	listed building	Historic England
-2.184916266	55.5644259	1008218	Staw Hill defended settlement	22/08/1935	GB	300004790	listed building	Historic England
-2.096554924	55.56435159	1006450	Site SE of Yeavering	01/01/1900	GB	300004790	listed building	Historic England
-2.182447369	55.56235166	1008219	Roman period native settlement 200m SSE of Staw Hill defended settlement	22/04/1994	GB	300004790	listed building	Historic England
-2.216949172	55.56225802	1014772	Five shielings 620m NNE of Elsdonburn Shank	24/07/1996	GB	300004790	listed building	Historic England
-1.883210543	55.56182128	1417677	Rock art at Ketley Crag rock shelter	06/03/2014	GB	300004790	listed building	Historic England
-2.134578044	55.56179347	1006535	St Gregory's Hill camp	23/08/1935	GB	300004790	listed building	Historic England
-2.119752654	55.5617299	1006466	Settlement on north slope of Yeavering Bell	01/01/1900	GB	300004790	listed building	Historic England
-1.887314556	55.56131889	1006553	The carved stone, Chatton Park, Kettley	01/01/1900	GB	300004790	listed building	Historic England
-2.201777523	55.56042989	1008359	Enclosed settlement west of Mid Hill	22/04/1994	GB	300004790	listed building	Historic England
-2.211875937	55.55995602	1015195	Roman period native enclosed settlement 600m north east of Elsdonburn Shank	22/05/1996	GB	300004790	listed building	Historic England
-2.183204013	55.5599395	1014933	Roman period native settlement on east slope of Mid Hill, 520m south of Staw Hill Camp	27/08/1996	GB	300004790	listed building	Historic England
-2.102298343	55.55998331	1006459	Settlement on north east slope of Yeavering Bell	01/01/1900	GB	300004790	listed building	Historic England
-2.189721801	55.55980656	1008358	Mid Hill enclosed settlement, Westnewton	22/08/1935	GB	300004790	listed building	Historic England
-2.201529418	55.5597032	1008360	House platform north west of Laddie's Knowe settlement	22/04/1994	GB	300004790	listed building	Historic England
-2.144663142	55.55923975	1006534	West Hill camp	22/08/1935	GB	300004790	listed building	Historic England
-1.972313288	55.55892613	1006549	Weetwood Bridge	28/11/1932	GB	300004790	listed building	Historic England
-2.05198739	55.55881511	1017377	The Battle Stone	20/07/1933	GB	300004790	listed building	Historic England
-1.887026661	55.55820226	1006552	Chatton Law camp, and cup and ring marked rocks	01/01/1900	GB	300004790	listed building	Historic England
-2.19813476	55.55807411	1006482	Settlement SW of Mid Hill	18/03/1969	GB	300004790	listed building	Historic England
-1.967760992	55.5578072	1002907	Simonside camp	01/01/1900	GB	300004790	listed building	Historic England
-2.223925863	55.55747977	1014773	Roman period native settlement 250m west of Elsdonburn Shank	14/03/1972	GB	300004790	listed building	Historic England
-2.115593752	55.557368	1006561	Yeavering Bell camp	01/01/1900	GB	300004790	listed building	Historic England
-2.087479188	55.55714125	1018349	Two medieval shielings on Akeld Hill, 680m WNW of Gleadscleugh	13/06/1973	GB	300004790	listed building	Historic England
-2.081510231	55.55681702	1018024	Medieval shieling and enclosure 340m north west of Gleadscleugh	27/04/1998	GB	300004790	listed building	Historic England
-2.09274476	55.55675034	1006456	Settlement N of White Law	01/01/1900	GB	300004790	listed building	Historic England
-2.100694268	55.55654255	1006427	Romano-British settlements E of Yeavering Bell containing the Old Sheepfold settlement and settlements to the W and S of it	20/12/1977	GB	300004790	listed building	Historic England
-1.769691723	55.55629729	1006478	Defended settlement, 1.05 km north west of North Farm	23/08/1968	GB	300004790	listed building	Historic England
-2.213431802	55.55587822	1009527	Enclosed settlement and subsidiary enclosures 160m N of Ring Chesters defended settlement	18/06/1969	GB	300004790	listed building	Historic England
-2.153710276	55.55559151	1006465	Settlement on the east slope of The Bell	01/01/1900	GB	300004790	listed building	Historic England
-2.079495516	55.55533956	1014929	Unenclosed stone hut circle settlement 120m north west of Gleadscleugh	27/08/1996	GB	300004790	listed building	Historic England
-2.234671498	55.55507866	1015638	Roman period aggregate village on Coldsmouth Hill, 650m south east of St Ethelrede's Chapel	15/04/1997	GB	300004790	listed building	Historic England
-2.114068143	55.55522972	1006460	Settlement, field systems and terraces on the south east slope of Yeavering Bell	01/01/1900	GB	300004790	listed building	Historic England
-2.082343695	55.55524568	1014930	Glead's Cleugh Iron Age promontory fort	13/06/1973	GB	300004790	listed building	Historic England
-2.065748286	55.55411487	1015636	Defended settlement on north slope of Harehope Hill, 570m south east of High Akled Cottages	28/11/1932	GB	300004790	listed building	Historic England
-1.625644616	55.55329365	1008430	Benthall round cairn	07/03/1974	GB	300004790	listed building	Historic England
-2.212310384	55.55365346	1008364	Ring Chesters defended settlement	19/01/1968	GB	300004790	listed building	Historic England
-2.186653816	55.55313219	1008363	Settlements and cairn east of Laddies Knowe	05/09/1994	GB	300004790	listed building	Historic England
-2.13839453	55.55304802	1014920	Round cairn 100m south of Torleehouse	27/08/1996	GB	300004790	listed building	Historic England
-1.965225757	55.55307454	1416809	Rock art on Weetwood Moor, 487m south of Clavering	06/03/2014	GB	300004790	listed building	Historic England
-2.156958246	55.55283286	1002912	Settlement at the south end of The Bell	01/01/1900	GB	300004790	listed building	Historic England
-2.063767484	55.55249178	1014932	Unenclosed scooped settlement on the east slope of Harehope Hill, 750m south east of High Akeld Cottages	20/06/1973	GB	300004790	listed building	Historic England
-2.072846403	55.55232022	1017957	Prehistoric hut circle on Harehope Hill, 400m south east of Gleadscleugh	29/04/1998	GB	300004790	listed building	Historic England
-1.621799764	55.55147305	1008563	St Ebba's chapel and monastic site	26/11/1932	GB	300004790	listed building	Historic England
-2.139043577	55.5516191	1014921	Roman period native settlement, associated field system and trackway, and medieval farmstead 270m south of Torleehouse	13/01/1972	GB	300004790	listed building	Historic England
-1.951899368	55.55147957	1006407	Circular ditched enclosure W of Chatton	01/01/1900	GB	300004790	listed building	Historic England
-1.976556274	55.55124856	1006454	Weetwood Moor round cairns	02/01/1900	GB	300004790	listed building	Historic England
-2.059026815	55.55107558	1017381	Romano-British farmstead 900m north east of triangulation point on Gains Law	26/01/2000	GB	300004790	listed building	Historic England
-2.096368654	55.55097223	1006455	Settlement 500yds (460m) SW of White Law	13/06/1973	GB	300004790	listed building	Historic England
-2.057669175	55.55089345	1017382	Romano-British native farmstead 970m north east of triangulation point on Gains Law	26/01/2000	GB	300004790	listed building	Historic England
-2.064293406	55.55074763	1015637	Roman period native farmstead and associated scooped enclosures and trackways on east slope of Harehope Hill, 925m south east of High Akeld Cottages	20/06/1973	GB	300004790	listed building	Historic England
-2.072183808	55.55068054	1015639	Iron Age multivallate hillfort and prehistoric trackway at Monday Cleugh	28/11/1932	GB	300004790	listed building	Historic England
-2.075401478	55.55047352	1018025	Prehistoric unenclosed hut circle settlement west of Monday Cleugh, 520m SSE of Gleadscleugh	27/04/1998	GB	300004790	listed building	Historic England
-2.147838806	55.55015767	1016138	Three Roman period native settlements and later droveway 750m south west of Torleehouse	13/01/1972	GB	300004790	listed building	Historic England
-2.07853496	55.55002668	1018026	Prehistoric hut circle 540m south of Gleadscleugh	27/04/1998	GB	300004790	listed building	Historic England
-2.219631779	55.549836	1020380	Hut circle, cultivation terraces and farmstead of later prehistoric date, and medieval settlement and field system 800m and 740m south of Elsdonburn Shank	14/03/1972	GB	300004790	listed building	Historic England
-2.152282594	55.5497467	1016143	Roman period native settlement 340m east of Hethpool Linn	01/05/1980	GB	300004790	listed building	Historic England
-2.03688718	55.549432	1017378	Medieval chapel, 220m south east of White Gables	26/01/2000	GB	300004790	listed building	Historic England
-2.143350717	55.5491064	1006426	Settlement, probably medieval, SW of Torleehouse	01/01/1900	GB	300004790	listed building	Historic England
-2.165440834	55.54884107	1018439	Hethpool tower house	15/01/1999	GB	300004790	listed building	Historic England
-1.980595123	55.54867886	1416808	Rock art on Weetwood Moor, 702m north east of Wooler Post Office Radio Station	06/03/2014	GB	300004790	listed building	Historic England
-1.970438682	55.54837935	1416807	Rock art on Weetwood Moor, 1km south west of Clavering	06/03/2014	GB	300004790	listed building	Historic England
-1.821073978	55.54816784	1006444	Sandyfold Burn settlement	01/01/1900	GB	300004790	listed building	Historic England
-2.05396218	55.54825315	1016714	Prehistoric enclosed settlement, Iron Age hillfort and medieval shielings on Humbleton Hill	24/09/1934	GB	300004790	listed building	Historic England
-2.227629439	55.54793102	1009531	Northern ring cairn on Coldsmouth Hill	19/01/1968	GB	300004790	listed building	Historic England
-1.965968543	55.54748817	1415509	Rock art on Weetwood Moor, 1km south of Clavering	06/03/2014	GB	300004790	listed building	Historic England
-2.208602489	55.54721848	1014505	Elsdonburn Roman period native settlements and medieval shieling	18/06/1969	GB	300004790	listed building	Historic England
-2.228154309	55.54708834	1009530	Southern ring cairn on Coldsmouth Hill	19/01/1968	GB	300004790	listed building	Historic England
-2.045183538	55.54694522	1017379	Romano-British farmstead 630m south west of White Gables	26/01/2000	GB	300004790	listed building	Historic England
-2.21354394	55.54652879	1014678	Roman period native enclosed settlement 700m south of Ring Chesters defended settlement	14/03/1972	GB	300004790	listed building	Historic England
-2.012716958	55.54656352	1018347	Wooler Tower on east side of Church Street	17/02/1953	GB	300004790	listed building	Historic England
-2.047799587	55.54654982	1017380	Hut circle 770m south east of White Gables	26/01/2000	GB	300004790	listed building	Historic England
-2.181975271	55.54608286	1014483	Little Hetha defended settlement	27/08/1935	GB	300004790	listed building	Historic England
-2.043256903	55.54612943	1019311	Romano-British farmstead and part of an associated field system 630m south west of White Gables	26/01/2000	GB	300004790	listed building	Historic England
-1.985197622	55.54599177	1006559	Weetwood Bank cup and ring marked rock, 290m north west of Wooler Post Office Radio Station	20/07/1933	GB	300004790	listed building	Historic England
-2.207179728	55.54538638	1008478	Settlement north west of Ell's Knowe	05/09/1994	GB	300004790	listed building	Historic England
-1.849486677	55.54502436	1006462	Whinny Hill cairn cemetery	29/10/1968	GB	300004790	listed building	Historic England
-2.056575194	55.54506833	1017044	Roman period native homestead 400m south of Humbleton Hill hillfort	14/12/1999	GB	300004790	listed building	Historic England
-2.066508809	55.54475251	1017383	Cairnfield 420m south east of triangulation point on Gains Law	26/01/2000	GB	300004790	listed building	Historic England
-1.972009034	55.54452006	1418763	Prehistoric rock art, 225m east of Whitsunbank Hill	07/04/2014	GB	300004790	listed building	Historic England
-2.060468322	55.5444275	1017384	Round cairn 760m south east of triangulation point on Gains Law	26/01/2000	GB	300004790	listed building	Historic England
-2.030426859	55.54435923	1019926	Green Castle ringwork 320m south west of Humbleton Mill	23/08/1935	GB	300004790	listed building	Historic England
-2.072757098	55.54421725	1017954	Prehistoric unenclosed hut circle settlement, field system and cairnfield 340m south west of triangulation point on Gains Law	29/04/1998	GB	300004790	listed building	Historic England
-2.171654742	55.54410481	1010332	Hethpool stone circles	21/12/1994	GB	300004790	listed building	Historic England
-1.968635549	55.54421456	1006538	Incised rocks in North Plantation, Fowberry Moor	01/01/1900	GB	300004790	listed building	Historic England
-2.079907123	55.5441363	1017956	Bronze Age unenclosed hut circle settlement, field system and cairnfield, 630m south west of triangulation point on Gains Law	29/04/1998	GB	300004790	listed building	Historic England
-2.203888973	55.54370991	1009040	Ell's Knowe defended settlement and earlier palisaded site	12/04/1994	GB	300004790	listed building	Historic England
-2.212938835	55.54368459	1008744	Settlement at Scaldhill Shank	14/03/1972	GB	300004790	listed building	Historic England
-2.028543805	55.54371356	1006438	Two pillboxes near Green Castle	24/10/1973	GB	300004790	listed building	Historic England
-1.95657111	55.5434335	1006537	Incised rocks at Fowberry Park	01/01/1900	GB	300004790	listed building	Historic England
-2.207154364	55.5430906	1009039	Settlement WSW of Ell's Knowe	12/04/1994	GB	300004790	listed building	Historic England
-2.038862332	55.54206557	1019139	Iron Age defended settlement and cultivation terraces 600m north east of Brown's Law Cottage	14/12/1999	GB	300004790	listed building	Historic England
-1.789776252	55.54163454	1006472	Isabella's Mount camp	15/07/1966	GB	300004790	listed building	Historic England
-2.193435566	55.54146439	1014497	Hetha Burn defended settlement, Roman period native enclosed settlement and associated trackways	18/03/1969	GB	300004790	listed building	Historic England
-2.189940356	55.54127244	1015193	Roman period native enclosed settlement 370m WNW of Great Hetha defended settlement	18/03/1969	GB	300004790	listed building	Historic England
-2.18288776	55.54022532	1014508	Great Hetha defended settlement	22/08/1935	GB	300004790	listed building	Historic England
-2.047655261	55.53998916	1017043	Two Roman period native settlements and associated field system on Coldberry Hill	31/07/1973	GB	300004790	listed building	Historic England
-1.938197265	55.53989065	1006410	Defended settlement, 550m south west of Broomhouse	13/04/1981	GB	300004790	listed building	Historic England
-1.96444825	55.53989703	1006518	Romano-British enclosed settlement, 405m east of Fowberry Moor	25/08/1954	GB	300004790	listed building	Historic England
-2.026087054	55.53912857	1006530	The Kettles univallate hillfort and enclosed settlement, 261m north west and 331m south west of King's Chair	24/09/1934	GB	300004790	listed building	Historic England
-1.879758146	55.53816914	1417940	Rock art on Amersidelaw, 215m ENE of Kay Hill	06/03/2014	GB	300004790	listed building	Historic England
-2.081299443	55.53695069	1018023	Bronze Age field system on Fredden Hill	24/04/1978	GB	300004790	listed building	Historic England
-1.873482914	55.53657773	1417941	Rock art on Amersidelaw, 290m north west of Drakestruther Moss	06/03/2014	GB	300004790	listed building	Historic England
-1.987278339	55.53595198	1018373	Coldmartin Tower, 260m north east of Tower Martin	21/01/1999	GB	300004790	listed building	Historic England
-2.077384774	55.53511043	1018021	Bronze Age round house on Fredden Hill 880m south west of Bell's Valley	02/12/1982	GB	300004790	listed building	Historic England
-2.174885666	55.53474451	1019925	Romano-British farmstead 760m north of Whitehall	07/08/2001	GB	300004790	listed building	Historic England
-2.200576818	55.53448833	1010333	Trowupburn cairn group	18/03/1969	GB	300004790	listed building	Historic England
-1.841629651	55.53426839	1006548	Sandyford Moor cairn cemetery	29/09/1968	GB	300004790	listed building	Historic England
-1.815677391	55.53419626	1006463	Round cairn cemetery, 820m south west of Stell Plantation	19/09/1969	GB	300004790	listed building	Historic England
-1.882781721	55.53410223	1417672	Rock art on Amersidelaw, 195m north west of Achnacarry Plantation	06/03/2014	GB	300004790	listed building	Historic England
-2.219413554	55.53394469	1010335	Madam Law Cairn	21/12/1994	GB	300004790	listed building	Historic England
-2.231993474	55.53388133	1010334	Two round cairns south west of Tuppie's Grave	13/06/1968	GB	300004790	listed building	Historic England
-2.197711425	55.53336059	1014507	Trowupburn Roman period native enclosed settlement, 120m north of Trowupburn Farm	20/05/1996	GB	300004790	listed building	Historic England
-1.960740749	55.53333118	1006533	Defended settlement, 790m WNW of Howemoor Plantation	27/08/1935	GB	300004790	listed building	Historic England
-2.055698654	55.53279754	1018375	Prehistoric field system, cairnfield, round cairns and enclosed cremation cemetery on east slopes of Fredden Hill, 750m west of Wooler Common	21/01/1999	GB	300004790	listed building	Historic England
-2.212320403	55.53117177	1014504	Hut circle settlements and field systems at Hetha Burn Head	20/05/1996	GB	300004790	listed building	Historic England
-1.665279772	55.53070719	1014732	Deserted medieval village and chapel at Tughall	26/11/1932	GB	300004790	listed building	Historic England
-1.814820691	55.53078367	1002911	Rosebrough Moor round cairns	15/03/1966	GB	300004790	listed building	Historic England
-2.185059896	55.53022264	1009529	Sinkside Hill defended settlement	18/03/1969	GB	300004790	listed building	Historic England
-2.063737118	55.52955439	1018374	Prehistoric field system and cairnfield east of Watch Hill, 520m NNE of footbridge over Carey Burn	31/07/1973	GB	300004790	listed building	Historic England
-2.056363423	55.52857625	1018376	Bronze Age cairnfield on north west slopes of Hart Heugh, 900m south west of Wooler Common	21/01/1999	GB	300004790	listed building	Historic England
-1.848802028	55.52840723	1006461	Cairnfield, on eastern edge of Ros Hill Wood	10/03/1969	GB	300004790	listed building	Historic England
-1.860298682	55.5282953	1006451	Two cairn cemeteries W of Willie Law	01/01/1900	GB	300004790	listed building	Historic England
-2.050496526	55.52805102	1018442	Two prehistoric enclosures, field clearance cairns and unenclosed hut circle settlement north of Hart Heugh, 600m south west of Wooler Common	03/07/1964	GB	300004790	listed building	Historic England
-2.201923472	55.52753393	1009528	Roman period native farmstead 550m SW of Trowupburn Farm	12/06/1973	GB	300004790	listed building	Historic England
