types	title	id	title_source	start	ccodes	aat_types
Archaeology	Two round cairns in Mollen Wood, 660 metres east of Parkgate Bridge	40112	Historic England	1900	GB	300000809
Building or structure	Brandon Walls lead mine	47921	Historic England	1900	GB	300000809
Building or structure	Holmslinn lead mine, 200 metres south east of Holmes, Sinderhope	49549	Historic England	1900	GB	300000809
Archaeology	Section of Scots Dyke linear boundary east of Langdale Rush	32171	Historic England	1900	GB	300000809
Archaeology	Roman period native enclosed settlement 270 metres ESE of Fleehope	29997	Historic England	1900	GB	300000809
Archaeology	Enclosure castle known as Triermain Castle	43885	Historic England	1900	GB	300000809
Building or structure	Enclosure castle known as Triermain Castle	48041	Historic England	1900	GB	300000809
Archaeology	Broomrigg P: shieling in Broomrigg Plantation, 775 metres south east of Street House	30837	Historic England	1900	GB	300000809
Archaeology	Pit alignment, part of the Cleave Dyke prehistoric boundary system and round barrow 450m south east of High Paradise	37442	Historic England	1900	GB	300000809
Archaeology	Starfits round barrow, 450m north east of Starfits House	31854	Historic England	1900	GB	300000809
Building or structure	Middle Level lead mine, Greenlaws, Daddry Shield	46372	Historic England	1900	GB	300000809
Archaeology	Pike Law lead hushes and mines	27617	Historic England	1900	GB	300000809
Building or structure	Hadrian's Wall between Port Carlisle and Bowness on Solway, Port Carlisle	49267	Historic England	1900	GB	300000809
Archaeology	The Loan medieval bastle and post-medieval cottage	33662	Historic England	1900	GB	300000809
Archaeology	Grinton ore hearth lead smelt mill, flue, fuel store and associated earthworks	31845	Historic England	1900	GB	300000809
Archaeology	Iron Age defended settlement in Fox Covert	30243	Historic England	1900	GB	300000809
Archaeology	Round barrow on Brockrigg, 400m east of Brockrigg Farm	36720	Historic England	1900	GB	300000809
Archaeology	Round barrow 500m east of Silver Hill Farm	31142	Historic England	1900	GB	300000809
Archaeology	Round cairn 790 metres west of Smithy Strip	30134	Historic England	1900	GB	300000809
Archaeology	Castle Stede motte and bailey, Hornby	33678	Historic England	1900	GB	300000809
Archaeology	Cairn west of Craven Hall Hill	43795	Historic England	1900	GB	300000809
Archaeology	The vallum between Oatens Bank, Harlow Hill, and Whittle Dene Watercourse in wall mile 16	30013	Historic England	1900	GB	300000809
Archaeology	Medieval farmstead and irregular open field system at High Burntoft Farm	30309	Historic England	1900	GB	300000809
Archaeology	Two round barrows 600m NNE of the north east corner of North Ings Plantation	32112	Historic England	1900	GB	300000809
Archaeology	Moated site and ridge and furrow cultivation 230m south east of Manor Farm	31844	Historic England	1900	GB	300000809
Archaeology	Derwentcote steel cementation furnace, iron finery forge and drift coal mine	29956	Historic England	1900	GB	300000809
Archaeology	Howe Hill motte and bailey castle	32135	Historic England	1900	GB	300000809
Archaeology	Marrick ore hearth lead smeltmill	44768	Historic England	1900	GB	300000809
Archaeology	Site of Ravensworth coalmill, 600 metres north east of Ravensworth Castle	28027	Historic England	1900	GB	300000809
Archaeology	Prehistoric enclosure, field system and cairnfield, and medieval and early post-medieval settlements and field systems 600m SSW of Blacklyne House	45127	Historic England	1900	GB	300000809
Archaeology	Roman period native settlement 340m east of Hethpool Linn	27564	Historic England	1900	GB	300000809
Archaeology	Haltwhistle Burn Roman temporary camps 2 and 3 and area of cord rig cultivation	30011	Historic England	1900	GB	300000809
Archaeology	Hadrian's Wall and associated features between the boundary east of turret 34a and the field boundary west of milecastle 36 in wall miles 34, 35 and 36	30236	Historic England	1900	GB	300000809
Archaeology	Hadrian's Wall and associated features between the field boundary west of turret 37a and the road to Steel Rigg car park in wall miles 37, 38 and 39	28789	Historic England	1900	GB	300000809
Building or structure	Bastle, 100 metres south west of Ray Cottages	49316	Historic England	1900	GB	300000809
Archaeology	Eston Nab hill fort, palisaded settlement and beacon	28131	Historic England	1900	GB	300000809
Archaeology	Old Rothbury multivallate hillfort and cairnfield	30098	Historic England	1900	GB	300000809
Archaeology	Section of the Cleave Dyke system 200m south east of Yorkshire Gliding Club	37568	Historic England	1900	GB	300000809
Building or structure	St Martins Priory Ruins, A6136	47119	Historic England	1900	GB	300000809
Archaeology	Section of cross ridge dyke and earthworks in Roman Plantation, Oulston Moor	37570	Historic England	1900	GB	300000809
Building or structure	Ravensworth Castle, Cross Lane	46437	Historic England	1900	GB	300000809
Building or structure	Woodhorn Colliery, east & west shaft head gear and Walker fan house	2703691	Historic England	1900	GB	300000809
Archaeology	Hasting Hill cursus and causewayed enclosure, 600m south of Hasting Hill Farm	28477	Historic England	1900	GB	300000809
Archaeology	Roachburn Colliery	38992	Historic England	1900	GB	300000809
Building or structure	Roachburn Colliery	48396	Historic England	1900	GB	300000809
Archaeology	Round barrow 350m south west of Moor House Farm	38048	Historic England	1900	GB	300000809
Archaeology	Round barrow 650m east of South Woods	37562	Historic England	1900	GB	300000809
Archaeology	Hadrian's Wall and vallum between the Fence Burn and the track to Portgate Cottage in wall miles 21 and 22	27781	Historic England	1900	GB	300000809
Archaeology	Hadrian's Wall and vallum between the track to Portgate Cottage and the field boundary east of milecastle 24 in wall miles 22 and 23	27782	Historic England	1900	GB	300000809
Archaeology	Roman period native settlement and a bloomery 160 metres north west of Bleabeck Force	31640	Historic England	1900	GB	300000809
Building or structure	Mitford Castle	46394	Historic England	1900	GB	300000809
Building or structure	Ruins of Church of St Thomas a Becket, Durham Road	46317	Historic England	1900	GB	300000809
Building or structure	Hadrian's Wall from Cockmount Hill to Walltown	47930	Historic England	1900	GB	300000809
Archaeology	Tinkler's Dene univallate hillfort, 400 metres north east of Dancing Hall Farm	27871	Historic England	1900	GB	300000809
Archaeology	Cross dyke, south of Campville	28313	Historic England	1900	GB	300000809
Building or structure	Little Swinburne Tower, Little Swinburne	46397	Historic England	1900	GB	300000809
Archaeology	Maiden Bower and Cock Lodge: a motte and bailey castle, moated site, windmill mound and associated linear outwork	31456	Historic England	1900	GB	300000809
Conservation area	Shildon	4160	Historic England	1900	GB	300000809
Conservation area	St Peter's, Wallsend	1320	Historic England	1900	GB	300000809
Conservation area	Loftus	4508	Historic England	1900	GB	300000809
Archaeology	Iron Age defended settlement in Camp Plantation, 350 metres north west of North Charlton Mill	28123	Historic England	1900	GB	300000809
Archaeology	Hadrian's Wall and vallum from Throckley to East Town House, Heddon-on-the-Wall in wall mile 11	28225	Historic England	1900	GB	300000809
Archaeology	Bleasdale Circle enclosed Bronze Age urnfield	33797	Historic England	1900	GB	300000809
Archaeology	Roppa South Cross on Carr Cote Ridge 1100m WSW of Piethorn	29672	Historic England	1900	GB	300000809
Archaeology	Cockan Cross wayside cross 600m west of Fox Hole Crag	29673	Historic England	1900	GB	300000809
Archaeology	Twelve Apostles stone circle, Burley Moor	37556	Historic England	1900	GB	300000809
Building or structure	Simonburn Castle, Castle Lane	46399	Historic England	1900	GB	300000809
Conservation area	St Paul	9153	Historic England	1900	GB	300000809
Conservation area	Devonshire Park and Cliffe Castle, Keighley	9118	Historic England	1900	GB	300000809
Conservation area	Heaton Estates	9127	Historic England	1900	GB	300000809
Archaeology	Walwick Fell Roman temporary camp	28786	Historic England	1900	GB	300000809
Archaeology	Bowl barrow,1 kilometre north west of High Court Green	28353	Historic England	1900	GB	300000809
Archaeology	Cairn 210m north-east of Westhills Farm	29983	Historic England	1900	GB	300000809
Archaeology	Three round cairns 70 metres east of Rydal Beck	39874	Historic England	1900	GB	300000809
Archaeology	Pinchinthorpe Hall moated site and post medieval gardens	31706	Historic England	1900	GB	300000809
Building or structure	Cockermouth Castle bell tower and kitchen tower	48812	Historic England	1900	GB	300000809
Archaeology	Shieling, 500 metres south west of Spy Crags	28001	Historic England	1900	GB	300000809
Archaeology	Two round barrows on Yearsley Moor 550m south west of High Lions' Lodge	38849	Historic England	1900	GB	300000809
Archaeology	Round barrow 545m NNW of Wool Knoll	38274	Historic England	1900	GB	300000809
Archaeology	Round barrow 530m NNW of Maidensworth Farm	36766	Historic England	1900	GB	300000809
Archaeology	Round barrow 300m west of Quarry House	44764	Historic England	1900	GB	300000809
Building or structure	Lowwood Gunpowder Works	48558	Historic England	1900	GB	300000809
Archaeology	Lowwood gunpowder works	34668	Historic England	1900	GB	300000809
Archaeology	Section of the Scots Dyke linear boundary 225m south of St Martin's Priory	32752	Historic England	1900	GB	300000809
Archaeology	Coal mining remains at Dunston Hill	27915	Historic England	1900	GB	300000809
Archaeology	Four areas of carving on a rock outcrop 200 metres south west of The Rigg	28172	Historic England	1900	GB	300000809
Building or structure	Twizel medieval tower house and folly, Twizel	49318	Historic England	1900	GB	300000809
Archaeology	Round barrow 550m east of Cam House	32719	Historic England	1900	GB	300000809
Archaeology	Henge monument 300m north of Nunwick	38269	Historic England	1900	GB	300000809
Conservation area	Apsley Crescent, Manningham, Bradford	8308	Historic England	1900	GB	300000809
Archaeology	Defended settlement and Roman signal station 410 metres south of West Crindledikes	30358	Historic England	1900	GB	300000809
Archaeology	Blackpark medieval farmstead 140m south of Blackpark Lodge	38519	Historic England	1900	GB	300000809
Archaeology	Section of Scots Dyke linear boundary and portion of field system 100m east of Whitefields Farm	30720	Historic England	1900	GB	300000809
Conservation area	Cockfield	3031	Historic England	1900	GB	300000809
Conservation area	Blyth Central, Blyth	2708	Historic England	1900	GB	300000809
Conservation area	Guisborough	4505	Historic England	1900	GB	300000809
Archaeology	Hare Gill prehistoric cairnfield and field system 715 metres SSE of Fisher Gate	33786	Historic England	1900	GB	300000809
Archaeology	Augill lead smelting mill, later iron roasting plant, associated reservoir, leats, flue and chimney and a Roman signal station immediately east of Augill Bridge	31546	Historic England	1900	GB	300000809
Building or structure	Augill Lead Mine Smelting Mill	49426	Historic England	1900	GB	300000809
Building or structure	Church, 50 metres north east of Croxdale Hall, Croxdale Hall	49771	Historic England	1900	GB	300000809
Archaeology	Hut circle 320 metres west of Threestoneburn House	28352	Historic England	1900	GB	300000809
Archaeology	Prehistoric cairnfield, field system, two funerary cairns, a Romano-British farmstead, field system and a post-medieval haematite mine at Brantrake Moss	34676	Historic England	1900	GB	300000809
Archaeology	Unenclosed hut circle settlement, field system, cairnfield and cord rig cultivation immediately north west of Linhope Spout	31701	Historic England	1900	GB	300000809
Archaeology	Two camps and cup and ring marked rocks on Dod Law	31645	Historic England	1900	GB	300000809
Building or structure	The Old Lower Hodder Bridge	48059	Historic England	1900	GB	300000809
Conservation area	Northgate	6200	Historic England	1900	GB	300000809
Conservation area	North Park Road	9143	Historic England	1900	GB	300000809
Conservation area	Southfield Square, Manningham, Bradford	9152	Historic England	1900	GB	300000809
Conservation area	Thornton	9157	Historic England	1900	GB	300000809
Conservation area	The Goitside, Bradford	9156	Historic England	1900	GB	300000809
Archaeology	Medieval lordly residence immediately west of Church Farm	38242	Historic England	1900	GB	300000809
Archaeology	One of four round barrows known as Robin Hood's Butts and adjacent enclosed Bronze Age urnfield, 530m north east of Black Beck Swang	33535	Historic England	1900	GB	300000809
Building or structure	Workington Hall tower house and later medieval fortified house	50307	Historic England	1900	GB	300000809
Building or structure	Newland Blast Furnace (Blacking Mill only)	46349	Historic England	1900	GB	300000809
Archaeology	Deighton moated site	37519	Historic England	1900	GB	300000809
Archaeology	St Giles medieval hospital, post-medieval farmstead and Iron Age occupation site immediately north of St Giles Farm	32036	Historic England	1900	GB	300000809
Archaeology	Round cairn on Skivick Crag, 380m south west of Wheeldale Lodge	31930	Historic England	1900	GB	300000809
Archaeology	Alum quarries and works 800m north of Sandsend Bridge	32416	Historic England	1900	GB	300000809
Archaeology	Late prehistoric enclosed settlement known as Catstones Ring on Catstones Hill	36807	Historic England	1900	GB	300000809
Archaeology	Prehistoric field system and unenclosed hut circle settlement on eastern slopes of Hart Heugh, 550 metres south west of Earlehillhead	28013	Historic England	1900	GB	300000809
Archaeology	Unenclosed prehistoric hut circle settlement and associated field system and cremation cemetery at Blea Gill	39093	Historic England	1900	GB	300000809
Archaeology	Medieval monastic fishponds immediately east of Park House	32757	Historic England	1900	GB	300000809
Archaeology	Round barrow known as Gospel Hill, 80m south west of Pasture House	38413	Historic England	1900	GB	300000809
Archaeology	Kershope Castle	28236	Historic England	1900	GB	300000809
Archaeology	Iron Age defended settlement and cultivation terraces 600 metres north east of Brown's Law Cottage	28015	Historic England	1900	GB	300000809
Archaeology	Linear boundary earthwork 370m east of Oscar Park Farm	32200	Historic England	1900	GB	300000809
Archaeology	Pockley Gates round barrow 600m west of Beadlam Grange	32761	Historic England	1900	GB	300000809
Archaeology	Medieval settlement of Dalton upon Tees and associated field system	33538	Historic England	1900	GB	300000809
Archaeology	Moated site immediately south of Danby Wiske church	31974	Historic England	1900	GB	300000809
Building or structure	The Old Gatehouse (unoccupied part), Jervaulx Park	48942	Historic England	1900	GB	300000809
Building or structure	Harperley Working Camp, World War II Prisoner of War camp at Craigside	49054	Historic England	1900	GB	300000809
Building or structure	Ford Colliery	49440	Historic England	1900	GB	300000809
Archaeology	Cataractonium Roman forts and town	32035	Historic England	1900	GB	300000809
Archaeology	Ingram Farm: prehistoric to post-medieval settlement, agricultural and funerary remains	37825	Historic England	1900	GB	300000809
Conservation area	Fishergate Hill, Preston	3246	Historic England	1900	GB	300000809
Conservation area	Rawtenstall Town Centre, Rossendale	8609	Historic England	1900	GB	300000809
Conservation area	Coatham (formerly Redcar)	4504	Historic England	1900	GB	300000809
Conservation area	Victoria Embankment	6205	Historic England	1900	GB	300000809
Conservation area	Idle and The Green	9129	Historic England	1900	GB	300000809
Archaeology	Long Meg and Her Daughters stone circle, associated cursus and prehistoric enclosure	40549	Historic England	1900	GB	300000809
Archaeology	Two round barrows east of Wild Middle Gill	37418	Historic England	1900	GB	300000809
Archaeology	Cairn, 900 metres north east of Old Rothbury hillfort	28089	Historic England	1900	GB	300000809
Archaeology	Bran's Walls Romano-British enclosed settlements, 400m SSE of Kielder Head	30120	Historic England	1900	GB	300000809
Archaeology	Romano-British settlement, 300 metres north of The Heugh	28000	Historic England	1900	GB	300000809
Conservation area	Wigton, Allerdale	9372	Historic England	1900	GB	300000809
Conservation area	Central Barrow	3524	Historic England	1900	GB	300000809
Building or structure	Coke ovens at Inkerman Farm	46374	Historic England	1900	GB	300000809
Building or structure	Hedleyhill Colliery coke works, 500 metres south west of Hazlet House	46357	Historic England	1900	GB	300000809
Archaeology	Two medieval shielings on Akeld Hill, 680m WNW of Gleadscleugh	27453	Historic England	1900	GB	300000809
Archaeology	Medieval village of Hunton and field system	31853	Historic England	1900	GB	300000809
Archaeology	Hadrian's Wall and vallum between St Oswald's Cottages, east of Brunton Gate and the North Tyne in wall miles 25, 26 and 27	30354	Historic England	1900	GB	300000809
Archaeology	Stone hut circle settlement in Clayton Wood on the south west side of Iveson Drive	39122	Historic England	1900	GB	300000809
Archaeology	Stone hut circle settlement in Iveson Wood	32787	Historic England	1900	GB	300000809
Archaeology	Manorial settlement, dovecote and fragment of field system, immediately north of Marske Inn Farm	28244	Historic England	1900	GB	300000809
Building or structure	Rosedale East Mines: South 'Stone' kilns and North 'Iron' kilns	409268	Historic England	1900	GB	300000809
Park and garden	Plumpton Rocks	24969	Historic England	1900	GB	300000809
Archaeology	Prehistoric cairnfield and associated field system south west of Birkby Fell, 750 metres north east of The Knott	39225	Historic England	1900	GB	300000809
Archaeology	Prehistoric cairnfield on Birkby Fell, 360 metres south east of Raven Crag	34675	Historic England	1900	GB	300000809
Archaeology	Prehistoric cairnfield, hut circle settlement, field system, funerary cairn, and a medieval shieling on Birkby Fell west of Devoke Water	38657	Historic England	1900	GB	300000809
Archaeology	Prehistoric cairnfield and associated field system 730 metres ENE of Birkerthwaite	33226	Historic England	1900	GB	300000809
Archaeology	Prehistoric cairnfield, hut circle settlement and associated field system 290 metres south east of Low Birker Tarn	39000	Historic England	1900	GB	300000809
Archaeology	Green How West unenclosed prehistoric hut circle settlement 540 metres NNE of Birkerthwaite	33671	Historic England	1900	GB	300000809
Archaeology	Horn Ridge cross dyke, cairnfield, round cairn and prehistoric hut circles	44909	Historic England	1900	GB	300000809
Conservation area	Cleator Moor	6645	Historic England	1900	GB	300000809
Conservation area	St Michaels, Workington	9368	Historic England	1900	GB	300000809
Conservation area	St George's Square	3531	Historic England	1900	GB	300000809
Archaeology	Round barrow on Rabbit Hill, 120m north of High Park House	32759	Historic England	1900	GB	300000809
Archaeology	Prehistoric hut circle settlements, enclosure, cairnfields, funerary cairns, a dispersed medieval settlement, field system and kilns on Heathwaite Fell	30824	Historic England	1900	GB	300000809
